Year,Display Text,Link
2022,Little Tokyo Public Art Project,https://culture.lacity.gov/artists-projects/percent-for-public-arts/little-tokyo/
2019,The Color of Air,https://archdesign.utk.edu/color-of-air-imai-2019/
2017,Data Waltz,https://architizer.com/projects/data-waltz/
2017,Data Waltz,https://vimeo.com/208084520
2012,Horizon House,https://www.gsd.harvard.edu/project/horizon-house/
2012,Horizon House,https://www.gsd.harvard.edu/exhibition/horizon-house-a-retreat-in-nature/
